year,canonicalcategory,category,film,filmid,winner
2022,animated feature film,animated feature film,the sea beast,tt9288046,no
2022,animated feature film,animated feature film,turning red,tt8097030,no
2022,international feature film,international feature film,all quiet on the western front,tt1016150,yes
2022,international feature film,international feature film,"argentina, 1985",tt15301048,no
2022,international feature film,international feature film,close,tt9660502,no
2022,international feature film,international feature film,eo,tt19652910,no
2022,international feature film,international feature film,the quiet girl,tt15109082,no
2022,best picture,best picture,all quiet on the western front,tt1016150,no
2022,best picture,best picture,avatar: the way of water,tt1630029,no
2022,best picture,best picture,the banshees of inisherin,tt11813216,no
2022,best picture,best picture,elvis,tt3704428,no
2022,best picture,best picture,everything everywhere all at once,tt6710474,yes
2022,best picture,best picture,the fabelmans,tt14208870,no
2022,best picture,best picture,tár,tt14444726,no
2022,best picture,best picture,top gun: maverick,tt1745960,no
2022,best picture,best picture,triangle of sadness,tt7322224,no
2022,best picture,best picture,women talking,tt13669038,no
2023,animated feature film,animated feature film,the boy and the heron,tt6587046,yes
2023,animated feature film,animated feature film,elemental,tt15789038,no
2023,animated feature film,animated feature film,nimona,tt19500164,no
2023,animated feature film,animated feature film,robot dreams,tt13429870,no
2023,animated feature film,animated feature film,spider-man: across the spider-verse,tt9362722,no
2023,international feature film,international feature film,io capitano,tt14225838,no
2023,international feature film,international feature film,perfect days,tt27503384,no
2023,international feature film,international feature film,society of the snow,tt16277242,no
2023,international feature film,international feature film,the teachers' lounge,tt26612950,no
2023,international feature film,international feature film,the zone of interest,tt7160372,yes
2023,best picture,best picture,american fiction,tt23561236,no
2023,best picture,best picture,anatomy of a fall,tt17009710,no
2023,best picture,best picture,barbie,tt1517268,no
2023,best picture,best picture,the holdovers,tt14849194,no
2023,best picture,best picture,killers of the flower moon,tt5537002,no
2023,best picture,best picture,maestro,tt5535276,no
2023,best picture,best picture,oppenheimer,tt15398776,yes
2023,best picture,best picture,past lives,tt13238346,no
2023,best picture,best picture,poor things,tt14230458,no
2023,best picture,best picture,the zone of interest,tt7160372,no
2024,animated feature film,animated feature film,flow,tt4772188,yes
2024,animated feature film,animated feature film,inside out 2,tt22022452,no
2024,animated feature film,animated feature film,memoir of a snail,tt23770030,no
2024,animated feature film,animated feature film,wallace & gromit: vengeance most fowl,tt17163970,no
2024,animated feature film,animated feature film,the wild robot,tt29623480,no
2024,international feature film,international feature film,emilia pérez,tt20221436,no
2024,international feature film,international feature film,flow,tt4772188,no
2024,international feature film,international feature film,the girl with the needle,tt10236164,no
2024,international feature film,international feature film,i'm still here,tt14961016,yes
2024,international feature film,international feature film,the seed of the sacred fig,tt32178949,no
2024,best picture,best picture,anora,tt28607951,yes
2024,best picture,best picture,the brutalist,tt8999762,no
2024,best picture,best picture,a complete unknown,tt11563598,no
2024,best picture,best picture,conclave,tt20215234,no
2024,best picture,best picture,dune: part two,tt15239678,no
2024,best picture,best picture,emilia pérez,tt20221436,no
2024,best picture,best picture,i'm still here,tt14961016,no
2024,best picture,best picture,nickel boys,tt23055660,no
2024,best picture,best picture,the substance,tt17526714,no
2024,best picture,best picture,wicked,tt1262426,no
