IMDb ID,title,Worlwide boxoffice
tt2321405,my life as a zucchini,"$5,873,157"
tt3666024,the red turtle,"$6,613,503"
tt2948356,zootopia,"$1,025,521,689"
tt3841424,land of mine,"$3,169,553"
tt4080728,a man called ove,"$30,726,624"
tt5186714,the salesman,"$6,953,604"
tt4239726,tanna,"$102,300"
tt4048272,toni erdmann,"$12,002,864"
tt2543164,arrival,"$212,758,656"
tt2671706,fences,"$64,414,761"
tt2119532,hacksaw ridge,"$180,563,636"
tt2582782,hell or high water,"$37,999,675"
tt4846340,hidden figures,"$235,957,472"
tt3783958,la la land,"$509,183,536"
tt3741834,lion,"$140,853,810"
tt4034228,manchester by the sea,"$78,988,148"
tt4975722,moonlight,"$65,172,611"
tt3874544,the boss baby,"$527,965,936"
tt3901826,the breadwinner,"$2,790,214"
tt2380307,coco,"$814,641,172"
tt3411444,ferdinand,"$296,069,199"
tt3262342,loving vincent,"$42,187,665"
tt5639354,a fantastic woman,"$3,839,364"
tt7048622,the insult,"$3,666,268"
tt6304162,loveless,"$3,928,358"
tt5607714,on body and soul,"$2,132,634"
tt4995790,the square,"$8,588,030"
tt5726616,call me by your name,"$67,446,279"
tt4555426,darkest hour,"$150,847,274"
tt5013056,dunkirk,"$533,696,799"
tt5052448,get out,"$255,751,443"
tt4925292,lady bird,"$78,987,280"
tt5776858,phantom thread,"$52,204,454"
tt6294822,the post,"$193,764,664"
tt5580390,the shape of water,"$195,243,464"
tt5027774,"three billboards outside ebbing, missouri","$162,729,321"
tt3606756,incredibles 2,"$1,243,225,667"
tt5104604,isle of dogs,"$64,659,098"
tt6900448,mirai,"$28,756,961"
tt5848272,ralph breaks the internet,"$529,323,962"
tt4633694,spider-man: into the spider-verse,"$393,602,435"
tt8267604,capernaum,"$64,417,003"
tt6543652,cold war,"$20,484,802"
tt5311542,never look away,"$6,193,234"
tt6155172,roma,"$1,140,769"
tt8075192,shoplifters,"$67,999,348"
tt1825683,black panther,"$1,349,926,083"
tt7349662,blackkklansman,"$93,413,709"
tt1727824,bohemian rhapsody,"$910,813,521"
tt5083738,the favourite,"$95,918,706"
tt6966692,green book,"$321,752,656"
tt1517451,a star is born,"$436,433,122"
tt6266538,vice,"$76,073,488"
tt2386490,how to train your dragon: the hidden world,"$539,987,993"
tt9806192,i lost my body,"$1,136,431"
tt4729430,klaus,
tt6348138,missing link,"$26,565,710"
tt1979376,toy story 4,"$1,073,841,394"
tt8649186,corpus christi,"$9,943,901"
tt8991268,honeyland,"$1,314,260"
tt10199590,les misérables,"$54,606,372"
tt8291806,pain and glory,"$37,359,689"
tt6751668,parasite,"$262,616,458"
tt1950186,ford v ferrari,"$226,299,480"
tt1302006,the irishman,"$968,853"
tt2584384,jojo rabbit,"$93,694,707"
tt7286456,joker,"$1,078,958,629"
tt3281548,little women,"$332,103,783"
tt7653254,marriage story,"$333,686"
tt8579674,1917,"$446,064,352"
tt7131622,once upon a time...in hollywood,"$392,105,159"
tt7146812,onward,"$141,940,042"
tt7488208,over the moon,
tt6193408,a shaun the sheep movie: farmageddon,"$43,133,089"
tt2948372,soul,"$121,977,511"
tt5198068,wolfwalkers,"$1,310,720"
tt10288566,another round,"$12,745,392"
tt9586294,better days,"$227,313,644"
tt10706602,collective,"$200,041"
tt10360862,the man who sold his skin,"$227,290"
tt8633462,"quo vadis, aida?","$813,253"
tt10272386,the father,"$24,048,935"
tt9784798,judas and the black messiah,"$7,478,009"
tt10618286,mank,
tt10633456,minari,"$15,288,578"
tt9770150,nomadland,"$39,458,207"
tt9620292,promising young woman,"$18,854,166"
tt5363618,sound of metal,"$516,520"
tt1070874,the trial of the chicago 7,
tt2953050,encanto,"$261,284,192"
tt8430054,flee,"$711,676"
tt12801262,luca,"$51,074,773"
tt7979580,the mitchells vs. the machines,
tt5109280,raya and the last dragon,"$130,423,032"
tt14039582,drive my car,"$15,357,339"
tt12680684,the hand of god,"$167,909"
tt10189300,lunana: a yak in the classroom,"$1,990,014"
tt10370710,the worst person in the world,"$12,687,507"
