IMDb ID,title,domestic boxoffice,international boxoffice,Worlwide boxoffice,budget,ROI
tt23770030,memoir of a snail,669798,6880508,7566626,1000000.0,6.57
tt17163970,wallace & gromit: vengeance most fowl,0,191452,191452,30000000.0,-0.99
tt29623480,the wild robot,143901945,189264000,333165945,40000000.0,7.33
tt20221436,emilia pérez,0,16298763,16298763,3000000.0,4.43
tt10236164,the girl with the needle,112199,417972,530171,2000000.0,-0.73
tt14961016,i'm still here,6233517,29704111,35937628,0.0,inf
tt32178949,the seed of the sacred fig,860139,5672251,6532783,1500000.0,3.36
tt28607951,anora,20474295,39054747,59568145,2000000.0,28.78
tt8999762,the brutalist,16279129,33938993,50257472,12000000.0,3.19
tt11563598,a complete unknown,75001720,65003328,140263060,2000000.0,69.13
tt20215234,conclave,32580655,85384191,119109751,10000000.0,10.91
tt15239678,dune: part two,282144358,432500000,714644358,200000000.0,2.57
tt23055660,nickel boys,2858346,158034,3016380,4000000.0,-0.25
tt17526714,the substance,17584795,59732017,77316812,6000000.0,11.89
tt1262426,wicked,473231120,280675349,755311722,145000000.0,4.21
